no,wage,lnwage,gender,age,married,education,experience
141,208.3333 ,5.3391 ,1,52,1,6,26
142,109.3750 ,4.6948 ,1,25,0,12,5
143,108.6957 ,4.6886 ,0,24,0,16,25
144,150.0000 ,5.0106 ,1,22,0,9,1
145,130.2083 ,4.8691 ,0,35,1,6,3
146,156.2500 ,5.0515 ,1,39,1,6,1
147,166.6667 ,5.1160 ,1,57,1,6,53
148,150.0000 ,5.0106 ,0,52,1,6,132
149,113.6364 ,4.7330 ,0,25,0,12,15
150,62.5000 ,4.1352 ,0,23,1,12,36
151,260.4167 ,5.5623 ,1,45,1,12,120
152,170.4545 ,5.1385 ,1,32,1,15,90
153,153.4091 ,5.0331 ,0,33,1,15,3
154,104.1667 ,4.6460 ,0,45,1,6,31
155,185.1852 ,5.2214 ,1,44,1,9,24
156,119.0476 ,4.7795 ,0,38,1,9,48
157,119.7917 ,4.7858 ,0,47,1,0,36
158,218.7500 ,5.3879 ,1,27,0,15,71
159,260.4167 ,5.5623 ,1,35,1,15,37
160,50.0000 ,3.9120 ,0,58,1,6,24
161,125.0000 ,4.8283 ,1,35,0,12,2
162,107.1429 ,4.6742 ,1,29,0,9,3
163,93.7500 ,4.5406 ,0,24,0,9,3
164,284.0909 ,5.6493 ,1,43,1,12,168
165,162.0370 ,5.0878 ,1,40,1,9,79
166,93.7500 ,4.5406 ,0,37,1,9,74
167,166.6667 ,5.1160 ,1,29,1,12,36
168,78.1250 ,4.3583 ,0,48,1,6,22
169,136.3636 ,4.9153 ,0,27,0,12,37
170,80.3571 ,4.3865 ,1,24,0,12,4
171,71.4286 ,4.2687 ,1,36,1,12,168
172,260.4167 ,5.5623 ,1,35,1,6,1
173,58.3333 ,4.0662 ,0,32,1,6,2
174,112.5000 ,4.7230 ,0,31,0,16,19
175,113.6364 ,4.7330 ,0,27,0,12,12
176,347.2222 ,5.8500 ,0,51,0,6,48
177,125.0000 ,4.8283 ,0,28,0,12,19
178,83.3333 ,4.4228 ,0,24,0,12,21
179,100.0000 ,4.6052 ,0,25,0,12,16
180,150.0000 ,5.0106 ,1,42,1,6,1
181,78.1250 ,4.3583 ,0,42,1,6,28
182,109.3750 ,4.6948 ,0,20,0,9,21
183,98.9583 ,4.5947 ,0,18,0,9,10
184,104.1667 ,4.6460 ,0,17,0,9,21
185,113.6364 ,4.7330 ,1,53,1,6,28
186,187.5000 ,5.2338 ,1,27,0,12,55
187,37.8788 ,3.6344 ,1,25,0,9,2
188,230.7692 ,5.4414 ,1,55,1,6,132
189,229.1667 ,5.4344 ,1,42,1,9,156
190,93.7500 ,4.5406 ,0,20,0,12,26
191,227.2727 ,5.4262 ,0,33,1,16,60
192,364.5833 ,5.8988 ,0,31,0,9,48
193,156.2500 ,5.0515 ,1,36,1,9,72
194,104.1667 ,4.6460 ,0,34,1,6,60
195,208.3333 ,5.3391 ,1,32,1,9,36
196,291.6667 ,5.6756 ,1,49,1,6,36
197,240.7407 ,5.4837 ,1,38,1,15,42
198,114.5833 ,4.7413 ,0,36,1,12,1
199,150.0000 ,5.0106 ,0,35,1,9,96
200,208.3333 ,5.3391 ,1,32,1,9,48
201,260.4167 ,5.5623 ,1,32,1,16,26
202,182.2917 ,5.2056 ,0,29,1,12,42
203,350.8772 ,5.8604 ,1,40,1,9,66
204,62.5000 ,4.1352 ,0,40,1,9,120
205,208.3333 ,5.3391 ,1,36,1,9,140
206,58.1395 ,4.0628 ,1,39,0,6,36
207,260.4167 ,5.5623 ,1,41,1,6,1
208,104.1667 ,4.6460 ,0,51,0,0,24
209,182.2917 ,5.2056 ,1,30,0,15,60
210,200.0000 ,5.2983 ,1,35,0,9,25
211,70.8333 ,4.2603 ,0,60,1,0,23
212,260.4167 ,5.5623 ,1,27,0,12,70
213,208.3333 ,5.3391 ,1,25,0,12,50
214,312.5000 ,5.7446 ,1,56,1,6,366
215,130.2083 ,4.8691 ,0,47,1,6,245
216,119.7917 ,4.7858 ,0,23,0,12,14
217,406.2500 ,6.0070 ,1,50,1,6,304
218,130.2083 ,4.8691 ,1,19,0,12,24
219,125.0000 ,4.8283 ,0,18,0,12,6
220,182.2917 ,5.2056 ,1,41,1,12,30
221,75.0000 ,4.3175 ,0,34,1,6,42
222,130.2083 ,4.8691 ,1,35,1,12,34
223,93.7500 ,4.5406 ,0,27,0,12,58
224,250.0000 ,5.5215 ,1,44,1,6,82
225,175.0000 ,5.1648 ,1,36,1,9,120
226,198.8636 ,5.2926 ,1,33,1,9,54
227,130.2083 ,4.8691 ,1,30,1,12,34
228,312.5000 ,5.7446 ,1,53,1,9,300
229,93.7500 ,4.5406 ,0,48,1,6,12
230,236.1111 ,5.4643 ,1,25,0,16,42
231,227.2727 ,5.4262 ,0,24,0,12,30
232,156.2500 ,5.0515 ,1,23,0,15,12
233,208.3333 ,5.3391 ,1,40,1,9,94
234,237.5000 ,5.4702 ,1,34,1,9,82
235,482.9545 ,6.1799 ,1,46,1,16,62
236,113.6364 ,4.7330 ,0,21,0,12,18
237,369.3182 ,5.9117 ,1,39,1,16,18
238,142.0455 ,4.9561 ,0,33,1,15,42
239,260.4167 ,5.5623 ,1,38,1,12,106
240,187.5000 ,5.2338 ,1,31,1,12,2
241,83.3333 ,4.4228 ,0,40,0,6,4
242,208.3333 ,5.3391 ,1,37,1,6,122
243,208.3333 ,5.3391 ,1,37,1,6,138
244,416.6667 ,6.0323 ,1,47,1,9,186
245,234.3750 ,5.4569 ,1,47,1,12,74
246,114.5833 ,4.7413 ,0,44,1,6,30
247,78.1250 ,4.3583 ,1,23,0,15,6
248,109.3750 ,4.6948 ,0,22,0,12,30
249,78.1250 ,4.3583 ,0,20,0,12,22
250,166.6667 ,5.1160 ,0,38,1,15,122
251,234.3750 ,5.4569 ,1,38,1,9,102
252,520.8333 ,6.2554 ,1,45,1,9,174
253,85.2273 ,4.4453 ,0,30,1,9,90
254,255.6818 ,5.5439 ,1,32,1,9,90
255,234.3750 ,5.4569 ,1,36,1,9,30
256,281.2500 ,5.6392 ,1,49,1,6,149
257,130.2083 ,4.8691 ,1,19,0,9,41
258,156.2500 ,5.0515 ,0,44,0,6,122
259,437.5000 ,6.0811 ,0,22,0,12,58
260,166.6667 ,5.1160 ,1,48,1,6,242
261,166.6667 ,5.1160 ,1,23,1,9,34
262,62.5000 ,4.1352 ,0,19,0,9,4
263,260.4167 ,5.5623 ,1,58,1,12,306
264,156.2500 ,5.0515 ,0,24,0,16,12
265,156.2500 ,5.0515 ,0,22,0,16,10
266,625.0000 ,6.4378 ,1,47,1,6,174
267,182.2917 ,5.2056 ,0,21,0,12,42
268,130.2083 ,4.8691 ,0,35,0,15,41
269,104.1667 ,4.6460 ,0,40,0,15,126
270,104.1667 ,4.6460 ,1,33,1,12,78
271,100.0000 ,4.6052 ,0,32,1,12,78
272,208.3333 ,5.3391 ,1,36,1,12,125
273,156.2500 ,5.0515 ,0,29,1,6,150
274,104.1667 ,4.6460 ,0,34,0,12,26
275,130.2083 ,4.8691 ,1,37,0,9,30
276,156.2500 ,5.0515 ,0,39,1,9,286
277,250.0000 ,5.5215 ,1,59,1,6,310
278,187.5000 ,5.2338 ,1,23,0,9,29
279,130.2083 ,4.8691 ,0,29,0,9,70
280,260.4167 ,5.5623 ,1,54,1,6,226
281,130.2083 ,4.8691 ,1,27,1,12,34
282,159.0909 ,5.0695 ,0,30,0,18,7
283,406.2500 ,6.0070 ,1,37,1,16,162
284,218.7500 ,5.3879 ,0,33,1,15,116
285,312.5000 ,5.7446 ,1,33,1,15,2
286,187.5000 ,5.2338 ,1,30,0,12,138
287,198.8636 ,5.2926 ,1,41,1,15,126
288,130.2083 ,4.8691 ,1,43,0,6,46
289,234.3750 ,5.4569 ,1,44,1,9,161
290,93.7500 ,4.5406 ,0,40,1,6,66
291,113.6364 ,4.7330 ,1,19,0,15,1
292,260.4167 ,5.5623 ,1,41,1,6,269
293,781.2500 ,6.6609 ,1,55,1,12,58
294,289.7727 ,5.6691 ,1,35,1,16,182
295,215.9091 ,5.3749 ,0,28,1,16,66
296,80.3571 ,4.3865 ,1,48,0,12,35
297,312.5000 ,5.7446 ,1,33,1,9,166
298,260.4167 ,5.5623 ,1,50,1,16,186
299,104.1667 ,4.6460 ,0,45,1,12,186
300,234.3750 ,5.4569 ,1,52,1,6,366
301,78.1250 ,4.3583 ,0,47,1,6,66
302,104.1667 ,4.6460 ,0,21,0,12,12
303,255.6818 ,5.5439 ,1,31,1,16,150
304,238.6364 ,5.4749 ,0,29,1,16,122
305,138.8889 ,4.9337 ,1,41,1,9,10
306,416.6667 ,6.0323 ,1,33,0,16,48
307,125.0000 ,4.8283 ,1,44,0,6,132
308,52.0833 ,3.9528 ,1,78,1,0,600
309,125.0000 ,4.8283 ,1,37,1,6,132
310,59.5238 ,4.0864 ,0,35,1,6,84
311,208.3333 ,5.3391 ,1,40,1,12,108
312,562.5000 ,6.3324 ,0,43,1,6,1
313,135.4167 ,4.9084 ,1,22,0,12,1
314,113.6364 ,4.7330 ,0,20,0,15,36
315,83.3333 ,4.4228 ,0,44,1,12,36
316,125.0000 ,4.8283 ,1,46,1,9,156
317,89.2857 ,4.4918 ,0,40,1,6,156
318,156.2500 ,5.0515 ,1,37,1,6,60
319,33.3333 ,3.5066 ,0,17,0,9,14
320,142.8571 ,4.9618 ,1,30,0,12,48
321,125.0000 ,4.8283 ,1,38,1,9,48
322,104.1667 ,4.6460 ,0,28,0,12,120
323,312.5000 ,5.7446 ,1,32,0,6,24
324,93.7500 ,4.5406 ,1,32,0,9,96
325,130.2083 ,4.8691 ,1,39,0,6,216
326,107.1429 ,4.6742 ,1,39,1,6,36
327,156.2500 ,5.0515 ,1,37,1,9,19
328,62.5000 ,4.1352 ,0,31,1,9,108
329,156.2500 ,5.0515 ,1,36,1,9,60
330,104.1667 ,4.6460 ,0,35,1,9,96
331,250.0000 ,5.5215 ,1,36,1,9,192
332,170.4545 ,5.1385 ,1,37,1,12,168
333,145.8333 ,4.9825 ,1,41,1,6,108
334,93.7500 ,4.5406 ,0,40,1,6,36
335,93.7500 ,4.5406 ,1,18,0,9,2
336,170.4545 ,5.1385 ,1,46,1,6,60
337,625.0000 ,6.4378 ,1,37,1,12,114
338,62.5000 ,4.1352 ,1,37,1,12,156
339,62.5000 ,4.1352 ,0,45,1,6,18
340,104.1667 ,4.6460 ,1,44,1,6,252
341,312.5000 ,5.7446 ,1,55,1,0,72
342,218.7500 ,5.3879 ,1,26,0,12,10
343,113.6364 ,4.7330 ,0,22,0,12,10
344,208.3333 ,5.3391 ,1,39,1,12,72
345,236.1111 ,5.4643 ,1,35,1,12,69
346,102.2727 ,4.6276 ,0,31,1,12,36
347,313.9535 ,5.7492 ,1,32,1,15,80
348,104.1667 ,4.6460 ,0,34,1,6,10
349,312.5000 ,5.7446 ,1,37,1,9,1
350,312.5000 ,5.7446 ,1,39,1,15,78
351,150.0000 ,5.0106 ,1,50,1,6,90
352,78.1250 ,4.3583 ,0,48,1,6,90
353,208.3333 ,5.3391 ,1,55,1,6,24
354,208.3333 ,5.3391 ,0,52,1,6,24
355,79.5455 ,4.3763 ,0,21,0,16,1
356,78.1250 ,4.3583 ,0,41,1,6,1
357,416.6667 ,6.0323 ,1,43,1,12,120
358,208.3333 ,5.3391 ,1,41,1,6,2
359,85.2273 ,4.4453 ,0,47,1,9,144
360,93.7500 ,4.5406 ,0,44,0,6,30
361,156.2500 ,5.0515 ,0,40,0,12,12
362,275.0000 ,5.6168 ,1,39,1,15,49
363,297.6190 ,5.6958 ,1,33,1,9,60
364,125.0000 ,4.8283 ,1,30,0,12,60
365,208.3333 ,5.3391 ,1,44,1,9,120
366,156.2500 ,5.0515 ,0,43,1,6,120
367,78.1250 ,4.3583 ,1,19,0,12,8
368,312.5000 ,5.7446 ,1,41,1,12,18
369,208.3333 ,5.3391 ,0,42,1,6,96
370,41.6667 ,3.7297 ,0,16,0,12,18
371,232.9545 ,5.4508 ,1,46,1,9,34
372,153.4091 ,5.0331 ,0,38,1,12,180
373,83.3333 ,4.4228 ,1,42,1,6,180
374,104.1667 ,4.6460 ,0,31,1,9,24
375,150.0000 ,5.0106 ,1,52,1,6,240
376,66.6667 ,4.1997 ,0,44,1,0,120
377,81.2500 ,4.3975 ,0,20,0,9,6
378,781.2500 ,6.6609 ,1,34,1,9,60
379,852.2727 ,6.7479 ,1,39,0,12,96
380,56.8182 ,4.0399 ,1,16,0,9,5
381,45.4545 ,3.8167 ,0,15,0,9,6
382,208.3333 ,5.3391 ,1,42,1,9,36
383,104.1667 ,4.6460 ,1,57,1,12,36
384,104.1667 ,4.6460 ,0,39,1,9,120
385,250.0000 ,5.5215 ,0,31,0,15,42
386,208.3333 ,5.3391 ,1,39,1,9,13
387,138.8889 ,4.9337 ,0,40,1,9,144
388,297.6190 ,5.6958 ,1,47,1,6,360
389,156.2500 ,5.0515 ,1,31,1,12,42
390,118.0556 ,4.7712 ,0,42,0,6,78
391,114.5833 ,4.7413 ,1,31,0,9,144
392,208.3333 ,5.3391 ,1,32,1,9,180
393,156.2500 ,5.0515 ,1,33,1,12,16
394,170.4545 ,5.1385 ,0,35,1,15,86
395,208.3333 ,5.3391 ,0,48,0,6,1
396,156.2500 ,5.0515 ,1,23,1,9,1
397,208.3333 ,5.3391 ,0,22,1,9,18
398,78.1250 ,4.3583 ,0,20,0,12,29
399,125.0000 ,4.8283 ,1,25,1,9,5
400,26.7857 ,3.2879 ,0,20,0,12,6
401,26.7857 ,3.2879 ,0,18,0,9,6
402,104.1667 ,4.6460 ,0,15,0,9,3
403,312.5000 ,5.7446 ,1,32,1,6,14
404,26.7857 ,3.2879 ,0,27,1,6,6
405,218.0851 ,5.3849 ,1,29,1,12,11
406,193.6275 ,5.2659 ,1,27,1,12,12
407,182.1429 ,5.2048 ,1,37,1,15,145
408,181.8182 ,5.2030 ,0,37,1,15,182
409,219.8980 ,5.3932 ,1,38,1,9,133
410,214.6739 ,5.3691 ,1,49,1,6,86
411,114.1304 ,4.7373 ,0,20,0,12,11
412,194.1489 ,5.2686 ,1,39,1,15,31
413,182.3864 ,5.2061 ,1,33,1,12,98
414,135.4167 ,4.9084 ,0,30,1,12,19
415,250.5814 ,5.5238 ,1,39,1,6,218
416,166.6667 ,5.1160 ,0,28,0,6,19
417,145.4082 ,4.9795 ,1,18,0,6,22
418,210.9375 ,5.3516 ,1,38,1,15,145
419,244.5652 ,5.4995 ,1,36,1,9,128
420,238.9706 ,5.4763 ,1,35,1,9,26
421,225.9804 ,5.4204 ,1,31,1,9,99
422,235.2941 ,5.4608 ,1,29,0,6,87
423,142.5000 ,4.9593 ,1,47,0,12,29
424,120.8333 ,4.7944 ,1,56,1,6,158
425,234.2391 ,5.4563 ,1,37,1,9,20
426,230.9783 ,5.4423 ,1,38,1,15,20
427,182.0652 ,5.2044 ,0,35,1,12,25
428,198.3696 ,5.2901 ,1,45,1,6,122
429,169.1860 ,5.1310 ,1,56,1,6,182
430,151.1628 ,5.0184 ,1,24,0,9,27
431,197.6744 ,5.2866 ,1,40,0,6,98
432,285.4651 ,5.6541 ,1,34,1,9,122
433,125.0000 ,4.8283 ,1,41,0,9,25
434,187.5000 ,5.2338 ,0,35,1,15,72
435,197.9167 ,5.2878 ,1,40,1,16,72
436,75.0000 ,4.3175 ,0,46,1,6,12
437,156.2500 ,5.0515 ,1,24,0,12,85
438,130.2083 ,4.8691 ,0,53,1,9,360
439,130.6818 ,4.8728 ,0,27,0,16,18
440,114.5833 ,4.7413 ,0,24,0,12,4
441,96.5909 ,4.5705 ,0,22,0,15,20
442,546.8750 ,6.3042 ,1,39,1,9,240
443,83.3333 ,4.4228 ,1,32,1,6,72
444,93.7500 ,4.5406 ,0,33,1,12,24
445,156.2500 ,5.0515 ,1,37,1,12,72
446,234.3750 ,5.4569 ,1,50,1,6,60
447,182.2917 ,5.2056 ,1,38,0,6,144
448,375.0000 ,5.9269 ,1,35,1,12,36
449,189.3939 ,5.2438 ,1,39,1,12,36
450,275.0000 ,5.6168 ,1,53,1,12,120
451,145.8333 ,4.9825 ,1,27,0,12,1
452,204.5455 ,5.3208 ,0,26,0,15,72
453,130.2083 ,4.8691 ,1,40,1,9,240
454,416.6667 ,6.0323 ,1,49,1,9,144
455,416.6667 ,6.0323 ,1,41,1,9,120
456,442.7083 ,6.0929 ,1,50,1,6,121
457,416.6667 ,6.0323 ,1,43,1,9,50
458,130.2083 ,4.8691 ,0,39,1,6,60
459,93.7500 ,4.5406 ,1,19,0,15,12
460,83.3333 ,4.4228 ,0,18,0,12,12
461,227.2727 ,5.4262 ,1,46,1,12,300
462,113.6364 ,4.7330 ,0,42,1,12,240
463,130.2083 ,4.8691 ,1,37,0,9,60
464,208.3333 ,5.3391 ,1,40,0,12,49
465,109.3750 ,4.6948 ,1,24,0,15,27
466,114.5833 ,4.7413 ,1,22,0,9,60
467,59.5238 ,4.0864 ,1,30,1,6,48
468,222.2222 ,5.4037 ,1,33,1,15,25
469,95.2381 ,4.5564 ,0,17,0,12,12
470,112.5000 ,4.7230 ,0,28,0,15,36
471,125.0000 ,4.8283 ,0,25,0,15,72
472,88.5417 ,4.4835 ,0,23,0,9,29
473,104.1667 ,4.6460 ,0,22,0,12,20
474,156.2500 ,5.0515 ,1,30,0,12,36
475,171.8750 ,5.1468 ,1,44,1,0,90
476,208.3333 ,5.3391 ,1,34,0,6,25
477,260.4167 ,5.5623 ,1,40,1,12,61
478,130.6818 ,4.8728 ,0,33,1,15,60
479,175.0000 ,5.1648 ,0,31,0,15,48
480,187.5000 ,5.2338 ,1,52,1,6,240
481,142.0455 ,4.9561 ,0,24,1,12,6
482,255.6818 ,5.5439 ,1,33,1,15,108
483,297.6190 ,5.6958 ,1,39,1,12,180
484,175.0000 ,5.1648 ,1,49,1,6,240
485,93.7500 ,4.5406 ,0,22,0,15,2
486,270.8333 ,5.6015 ,1,48,1,15,122
487,74.4048 ,4.3095 ,1,44,1,6,84
488,208.3333 ,5.3391 ,1,38,1,15,5
489,267.8571 ,5.5905 ,0,40,0,9,37
490,20.8333 ,3.0366 ,0,34,1,9,60
491,343.7500 ,5.8399 ,1,36,1,9,121
492,260.4167 ,5.5623 ,0,46,0,6,180
493,145.8333 ,4.9825 ,0,24,0,12,24
494,108.3333 ,4.6852 ,1,23,0,9,18
495,260.4167 ,5.5623 ,1,27,1,9,24
496,333.3333 ,5.8091 ,0,27,1,12,31
497,260.4167 ,5.5623 ,1,26,1,12,48
498,104.1667 ,4.6460 ,0,25,1,12,36
499,250.0000 ,5.5215 ,1,53,1,6,156
500,133.9286 ,4.8973 ,1,41,1,6,228
501,182.2917 ,5.2056 ,1,53,1,9,120
502,260.4167 ,5.5623 ,1,34,1,6,192
503,250.0000 ,5.5215 ,1,39,1,12,120
504,113.6364 ,4.7330 ,0,35,1,12,1
505,208.3333 ,5.3391 ,1,43,1,9,240
506,23.8095 ,3.1701 ,0,40,1,12,216
507,41.6667 ,3.7297 ,1,57,0,6,36
508,234.3750 ,5.4569 ,1,49,1,6,120
509,112.5000 ,4.7230 ,0,24,0,12,24
510,104.1667 ,4.6460 ,1,20,0,12,12
511,142.0455 ,4.9561 ,1,46,1,12,1
512,133.9286 ,4.8973 ,0,43,0,6,48
513,162.0370 ,5.0878 ,1,33,0,9,24
514,104.1667 ,4.6460 ,1,30,0,9,28
515,312.5000 ,5.7446 ,1,47,1,6,180
516,147.7273 ,4.9954 ,0,22,0,12,72
517,130.6818 ,4.8728 ,0,21,0,12,36
518,142.0455 ,4.9561 ,0,18,0,12,12
519,156.2500 ,5.0515 ,1,35,0,12,24
520,156.2500 ,5.0515 ,1,32,1,12,19
521,178.5714 ,5.1850 ,1,61,0,9,420
522,166.6667 ,5.1160 ,0,27,0,12,48
523,135.4167 ,4.9084 ,0,25,0,15,24
524,113.6364 ,4.7330 ,0,22,0,15,6
525,102.2727 ,4.6276 ,0,35,0,6,84
526,138.8889 ,4.9337 ,1,30,0,9,1
527,130.2083 ,4.8691 ,1,27,0,9,144
528,178.5714 ,5.1850 ,1,24,0,9,18
529,178.5714 ,5.1850 ,1,56,1,6,60
530,375.0000 ,5.9269 ,1,45,1,6,120
531,60.0000 ,4.0943 ,0,35,1,9,1
532,115.7407 ,4.7514 ,0,20,0,12,3
533,312.5000 ,5.7446 ,1,39,1,6,120
534,208.3333 ,5.3391 ,1,42,1,6,2
535,130.2083 ,4.8691 ,0,38,1,6,36
536,125.0000 ,4.8283 ,1,52,1,6,72
